wrong,correct
契約所,契約書
期曰,期日
間題,問題
糞,翼
WATACH,WATCH
竹人迫,竹迫
熱交換問,熱交換器
王學, 顕微鏡
頭仙筐,顕微鏡
コーティングがラム,コーティングカラム
ホす,示す
観窒,観察
Fig.$,Fig.5
掲直,掲示
九1,図1
Ｃル,Cr
Ｃラ,Cr
